,N,B,H,N_ESTIMATORS,MAX_DEPTH,MIN_SAMPLES_SPLIT,MIN_SAMPLES_LEAF,MAX_FEATURES,PCC,R2,MAE,Within_0.4,Within_1,Correct_Sign,Correct_Sign_Extreme
549,0,50,10.0,200,10,2,1,log2,0.6472195936351711,0.41018293178344944,0.8730730846403719,0.386136004217185,0.713231418028466,0.7401159725882973,0.8747984954325632
550,80,65,1.0,300,,2,2,sqrt,0.6792277448963971,0.4582841032006858,0.8311032628445006,0.41469132586611096,0.7181557697317009,0.7389945298254754,0.8744703389830508
551,160,35,5.0,300,,5,2,log2,0.6862987521629317,0.4664018342212065,0.8192284046391382,0.41691117631368363,0.7265937583355562,0.7444651907175247,0.883442265795207
552,120,65,10.0,300,,2,2,sqrt,0.6662150119579539,0.44072893541123526,0.8430287493351665,0.4159937483719719,0.7215420682469393,0.7379525918207867,0.871292372881356
553,0,35,0.1,300,,10,2,log2,0.6824940486198182,0.4600807960469395,0.823841364303053,0.41531074953320885,0.7257935449453188,0.7452654041077621,0.8872549019607843
554,100,35,1.0,200,,2,1,log2,0.6879100247627923,0.4709004635663834,0.8178428110359615,0.424379834622566,0.7244598559615898,0.7404641237663377,0.8823529411764706
555,160,65,1.0,300,10,5,2,sqrt,0.659385678634579,0.4278690420053145,0.8620149241243334,0.3865589997395155,0.7145089867152904,0.7405574368325085,0.878177966101695
556,140,50,10.0,300,10,5,1,sqrt,0.6570216013559192,0.42701161742805505,0.8578400190314177,0.38982604111755403,0.716921454928835,0.742488139167106,0.8801719505642128
557,0,50,10.0,300,10,2,1,log2,0.6474376882159593,0.410603478123872,0.872514487889259,0.3800738007380074,0.7150764364786505,0.7416974169741697,0.8774852229983879
558,80,50,10.0,200,,10,2,log2,0.6656221744390516,0.43783024726110054,0.8434261919275132,0.41354770690564047,0.7156035846072747,0.7414338429098577,0.8774852229983879
559,140,65,10.0,100,10,2,1,sqrt,0.6464932819162371,0.4146686146031795,0.8708779974213642,0.37926543370669447,0.7134670487106017,0.7387340453243032,0.8728813559322034
560,80,35,10.0,200,30,10,1,log2,0.6718662776247976,0.44691812333170555,0.8320698306735579,0.4102427313950387,0.722859429181115,0.7487329954654575,0.8839869281045751
561,120,35,5.0,300,30,5,10,sqrt,0.6572941190177216,0.42448160799420354,0.8514226157314788,0.40117364630568153,0.7193918378234195,0.7423312883435583,0.8845315904139434
562,160,65,1.0,100,,2,4,sqrt,0.6691122794613693,0.4436912425853923,0.8424892204950271,0.40817921333680646,0.7228444907528002,0.7395154988278198,0.878707627118644
563,80,50,5.0,200,10,2,10,sqrt,0.6481580295574666,0.4110398850870035,0.8680971083650287,0.3848181338956247,0.7153400105429626,0.742751713231418,0.8839333691563676
564,140,50,10.0,300,30,2,10,sqrt,0.6522646966453635,0.4201051923721971,0.8568373832432917,0.4040590405904059,0.7195571955719557,0.7422245651027939,0.876947877485223
565,140,35,5.0,200,10,2,2,log2,0.6728395114762061,0.44560893535242263,0.8444558761762847,0.38757001867164576,0.7271272339290478,0.7481995198719659,0.8932461873638344
566,80,50,1.0,300,,2,10,sqrt,0.6558207075463643,0.42228397886075686,0.8574473447207447,0.39826041117554034,0.7134949920927781,0.7416974169741697,0.8823213326168726
567,160,35,10.0,100,,5,2,sqrt,0.6705071835351626,0.44721205484647475,0.8333640504334814,0.4233128834355828,0.7177914110429447,0.7465990930914911,0.8856209150326797
568,120,65,5.0,100,,2,10,log2,0.64017698754035,0.40184098553921,0.8742727480145055,0.3878614222453764,0.7137275332117738,0.7405574368325085,0.8755296610169492
569,120,35,10.0,300,30,10,2,log2,0.6700301939211165,0.4436781068812491,0.8344141015810576,0.4113096825820219,0.7244598559615898,0.7449986663110163,0.8818082788671024
570,100,35,1.0,300,10,2,1,log2,0.6729360682576926,0.44425958557608003,0.8472947449178522,0.3841024273139504,0.724193118164844,0.7484662576687117,0.8899782135076253
571,120,35,10.0,300,10,2,2,sqrt,0.66494195482689,0.43482385930703915,0.8497408294225725,0.39290477460656176,0.7260602827420646,0.7428647639370499,0.8828976034858388
572,160,65,10.0,300,30,2,4,sqrt,0.65661735089753,0.4266861738503053,0.8519895298594,0.40427194581922377,0.7189372232352175,0.7418598593383694,0.8765889830508474
573,100,50,1.0,300,10,2,10,sqrt,0.6504988396788266,0.41439872244918485,0.8663558052321005,0.3848181338956247,0.7153400105429626,0.7467053241960991,0.8871574422353573
574,80,50,0.1,200,30,2,1,log2,0.6854549322273477,0.46731585262334974,0.8238081377770359,0.41697416974169743,0.724301528729573,0.7411702688455456,0.8790972595378829
575,100,50,10.0,100,10,5,1,log2,0.6517037000086708,0.41618387409294233,0.8658705326502356,0.3885081707959937,0.7200843437005798,0.7419609910384818,0.876947877485223
576,160,35,0.1,300,10,10,1,log2,0.6681886289083511,0.4371129234859198,0.8534757977372056,0.3838356895172046,0.7212590024006402,0.7463323552947453,0.8888888888888888
577,80,35,10.0,200,,5,10,sqrt,0.6512398217020561,0.4167532665682424,0.8577632692975093,0.3974393171512403,0.7180581488396905,0.7396639103761002,0.8774509803921569
578,80,65,0.1,100,,10,4,log2,0.6662358373562466,0.43827715948982904,0.8474939683905091,0.40166710080750195,0.7220630372492837,0.7376921073196144,0.8776483050847458
579,100,35,5.0,100,10,5,10,log2,0.6504630171526681,0.41294039872867006,0.8643105094633439,0.3902373966391038,0.7180581488396905,0.7431315017337957,0.8839869281045751
580,120,65,10.0,300,30,10,1,log2,0.6630305891750871,0.4348228030559921,0.8475589108191728,0.40948163584266734,0.719718676738734,0.7408179213336806,0.8776483050847458
581,80,50,10.0,100,30,2,10,sqrt,0.6419523504609198,0.40592792446005543,0.8671740330076136,0.40432261465471797,0.7158671586715867,0.7403795466526094,0.8731864588930682
582,160,65,1.0,200,30,2,1,sqrt,0.6730450060808576,0.4517830961485174,0.8366526225872908,0.4183381088825215,0.7212815837457671,0.7371711383172701,0.8739406779661016
583,80,35,5.0,200,10,2,2,log2,0.6739716660928478,0.4448314031335471,0.8456851075820982,0.38890370765537474,0.722859429181115,0.7481995198719659,0.8910675381263616
584,80,50,1.0,200,30,10,2,log2,0.6813485312105606,0.45814604059531894,0.8317433631645473,0.4127569847127043,0.7232472324723247,0.7488139167105957,0.8855454056958625
585,140,50,0.1,200,,2,1,log2,0.6883239249892815,0.4719281565233815,0.8186445785010993,0.41855561412756986,0.7253558249868213,0.7451238798102267,0.8860827512090274
586,160,35,1.0,100,10,5,2,sqrt,0.6712358161259432,0.4437169751284733,0.8493993245915988,0.3830354761269672,0.7220592157908776,0.7473993064817285,0.8867102396514162
587,0,50,1.0,200,,5,2,sqrt,0.6809313354779419,0.4603931209408614,0.8263816232428634,0.4172377438060095,0.7211386399578281,0.7451238798102267,0.8823213326168726
588,100,50,10.0,100,30,2,1,sqrt,0.6678367679418525,0.4446147745710691,0.8365076498278871,0.42409066947812335,0.7163943068002109,0.742488139167106,0.876410531972058
589,0,35,0.1,100,30,10,1,sqrt,0.6797297184914557,0.4591783711871936,0.8268701363872725,0.41317684715924247,0.7236596425713524,0.7441984529207789,0.8856209150326797
590,120,65,0.1,300,10,2,1,sqrt,0.6595744750791226,0.42870878397570356,0.8626482235156905,0.3868194842406877,0.7184162542328731,0.7389945298254754,0.8776483050847458
591,120,35,5.0,300,10,10,10,sqrt,0.6539671313944004,0.41880187324188567,0.8608364622626559,0.38757001867164576,0.7169911976527074,0.7452654041077621,0.8877995642701525
592,0,65,5.0,200,,5,10,log2,0.6334186146416854,0.39236971197367576,0.8801810410548924,0.39671789528523055,0.7100807501953634,0.736910653816098,0.8670550847457628
593,120,50,10.0,300,,2,2,log2,0.6720293037304124,0.44705713374328704,0.8342374968628237,0.42066420664206644,0.724301528729573,0.7422245651027939,0.8801719505642128
594,160,65,10.0,100,,2,1,log2,0.6578680736340777,0.4315252839732657,0.8486483129739624,0.411825996353217,0.7181557697317009,0.7358687158114092,0.871292372881356
595,160,50,10.0,100,30,5,1,sqrt,0.6690490923009536,0.44557262051782087,0.8366248954198519,0.4177648919346336,0.7129678439641539,0.742751713231418,0.8790972595378829
596,0,65,1.0,300,10,10,4,sqrt,0.6530658596615909,0.41667108086625804,0.8676331742379086,0.3834331857254493,0.7155509247199792,0.7421203438395415,0.8760593220338984
597,80,50,5.0,300,10,10,10,log2,0.6416224526896018,0.4016774407684143,0.8738741524010055,0.386136004217185,0.7179757511860833,0.7448603057459146,0.8844707146695325
598,160,50,10.0,100,10,10,1,sqrt,0.6499609593315707,0.4156428426712969,0.8675299093750412,0.3874538745387454,0.7150764364786505,0.742751713231418,0.8790972595378829
599,0,35,0.1,200,10,2,4,log2,0.6645768094225054,0.4302810952731506,0.8559509867599321,0.384635902907442,0.7188583622299279,0.7497999466524407,0.8905228758169934
600,80,35,0.1,300,10,2,10,sqrt,0.6561865734884099,0.4217300028375909,0.8595281914844752,0.3809015737530008,0.71619098426247,0.7449986663110163,0.8883442265795207
601,0,65,10.0,200,30,5,2,sqrt,0.6533817826463699,0.4234605588349113,0.8540330898311211,0.4063558218286012,0.7186767387340454,0.735608231310237,0.8686440677966102
602,80,50,5.0,200,10,5,4,sqrt,0.6685182131490983,0.43737467216867787,0.8511827223994761,0.38771744860305746,0.7216657880864523,0.7477596204533474,0.8871574422353573
603,120,65,10.0,200,,5,1,sqrt,0.6652492909723002,0.44027543195602636,0.8443395111458436,0.4167752018754884,0.7165928627246679,0.7358687158114092,0.868114406779661
604,80,65,0.1,300,30,10,4,sqrt,0.672789050534604,0.44718408852830827,0.8390883880175236,0.4105235738473561,0.7194581922375619,0.7439437353477468,0.8840042372881356
605,80,35,0.1,200,30,2,1,log2,0.6882149340121828,0.4713920607037039,0.8191310085455542,0.41637770072019203,0.7249933315550814,0.7431315017337957,0.8839869281045751
606,160,65,1.0,200,,10,10,log2,0.6418934399455587,0.40308043251852943,0.872420475646914,0.3907267517582704,0.7191977077363897,0.7374316228184423,0.8765889830508474
607,120,35,10.0,200,,10,1,sqrt,0.6705452949338578,0.4465337015981562,0.8334985566549226,0.41397706054947986,0.7225926913843692,0.7417978127500667,0.8818082788671024
608,0,50,5.0,200,10,10,2,sqrt,0.6609167553149408,0.4270859212604582,0.8634860977456904,0.3753294675803901,0.7113863995782815,0.7461781760674749,0.8823213326168726
609,120,35,1.0,300,,2,1,sqrt,0.6889459180676466,0.4730717722654897,0.8159681522926868,0.41957855428114166,0.7276607095225394,0.7460656174979995,0.8850762527233116
610,160,35,5.0,100,30,10,1,sqrt,0.6761328195824579,0.4549564112892358,0.8324900142940251,0.41291010936249667,0.7180581488396905,0.7433982395305415,0.8801742919389978
